Rank,Country/Territory,Penetration
1,Japan,100.0%
2,South Korea,99.2%
3,United States,97.1%
4,Netherlands,96.6%
5,Denmark,94.8%
6,Switzerland,94.6%
7,Taiwan,94.5%
8,Belgium,94.4%
9,Norway,94.1%
10,Singapore,94.1%
11,Hong Kong,93.8%
12,Lithuania,93.1%
13,Estonia,92.9%
14,Germany,92.5%
15,Finland,92.5%
16,Cyprus,92.1%
17,Qatar,91.9%
18,Czech Republic,91.9%
19,Canada,91.9%
20,United Arab Emirates,91.5%
21,United Kingdom,91.3%
22,Sweden,90.1%
23,Italy,90.1%
24,Hungary,90.0%
25,Puerto Rico,89.8%
26,Bahrain,89.5%
27,France,89.1%
28,Poland,89.1%
29,Slovakia,88.9%
30,Austria,88.8%
31,Australia,88.5%
32,Latvia,88.4%
33,Slovenia,88.0%
34,Kyrgyzstan,87.2%
35,Portugal,87.2%
36,Greece,86.9%
37,Romania,86.6%
38,North Macedonia,86.0%
39,Iceland,86.0%
40,Bulgaria,86.0%
41,Croatia,85.4%
42,Spain,84.6%
43,Serbia,84.3%
44,Georgia,83.4%
45,Thailand,83.3%
46,South Africa,83.1%
47,Luxembourg,82.7%
48,China,82.5%
49,Israel,81.8%
50,Cambodia,81.8%
51,Malaysia,81.7%
52,New Zealand,81.0%
53,Vietnam,80.7%
54,India,80.6%
55,Philippines,80.5%
56,Morocco,79.7%
57,Albania,79.4%
58,Turkey,79.3%
59,Lebanon,79.3%
60,Saudi Arabia,79.2%
61,Russia,79.1%
62,Dominican Republic,78.4%
63,Sri Lanka,77.8%
64,Indonesia,77.6%
65,Ireland,76.9%
66,Oman,76.9%
67,Myanmar,76.9%
68,Guatemala,76.7%
69,Pakistan,75.9%
70,Azerbaijan,75.7%
71,Argentina,74.9%
72,Egypt,74.1%
73,Panama,73.0%
74,Mexico,73.0%
75,Peru,72.5%
76,Kuwait,71.8%
77,El Salvador,71.3%
78,Jordan,71.0%
79,Kazakhstan,71.0%
80,Chile,70.5%
81,Uruguay,70.4%
82,Tunisia,70.4%
83,Uzbekistan,69.8%
84,Costa Rica,69.5%
85,Honduras,69.5%
86,Moldova,68.4%
87,Paraguay,67.9%
88,Brazil,67.5%
89,Jamaica,67.5%
90,Ukraine,67.3%
91,Mongolia,67.1%
92,Bangladesh,66.7%
93,Kenya,65.9%
94,Zambia,64.7%
95,Nicaragua,64.2%
96,Iraq,63.3%
97,Colombia,63.1%
98,Nigeria,62.6%
99,Nepal,61.0%
100,Bolivia,58.4%
101,Algeria,58.4%
102,Ecuador,57.7%
103,Ghana,56.8%
104,Ivory Coast,55.0%
105,Senegal,54.4%
106,Belarus,48.0%
